config	experiment	group	mazeFile	numStartingPositions	pc_files	traces	numEpisodes	numObstacles	num_cells	run_id
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/biology/M10000.xml	1	experiments/pc_layers/uniform_densities/u56_10.csv	0.4	4000	0	280	0
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/biology/M10000.xml	1	experiments/pc_layers/uniform_densities/u56_10.csv	0.4	4000	0	280	1
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/biology/M10000.xml	1	experiments/pc_layers/uniform_densities/u56_10.csv	0.4	4000	0	280	2
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/biology/M10000.xml	1	experiments/pc_layers/uniform_densities/u56_10.csv	0.4	4000	0	280	3
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/biology/M10000.xml	1	experiments/pc_layers/uniform_densities/u56_10.csv	0.4	4000	0	280	4
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/biology/M10000.xml	1	experiments/pc_layers/uniform_densities/u56_10.csv	0.4	4000	0	280	5
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/biology/M10000.xml	1	experiments/pc_layers/uniform_densities/u56_10.csv	0.4	4000	0	280	6
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/biology/M10000.xml	1	experiments/pc_layers/uniform_densities/u56_10.csv	0.4	4000	0	280	7
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/biology/M10000.xml	1	experiments/pc_layers/uniform_densities/u56_10.csv	0.4	4000	0	280	8
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/biology/M10000.xml	1	experiments/pc_layers/uniform_densities/u56_10.csv	0.4	4000	0	280	9
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/biology/M10000.xml	1	experiments/pc_layers/uniform_densities/u56_10.csv	0.4	4000	0	280	10
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/biology/M10000.xml	1	experiments/pc_layers/uniform_densities/u56_10.csv	0.4	4000	0	280	11
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/biology/M10000.xml	1	experiments/pc_layers/uniform_densities/u56_10.csv	0.4	4000	0	280	12
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/biology/M10000.xml	1	experiments/pc_layers/uniform_densities/u56_10.csv	0.4	4000	0	280	13
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/biology/M10000.xml	1	experiments/pc_layers/uniform_densities/u56_10.csv	0.4	4000	0	280	14
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/biology/M10000.xml	1	experiments/pc_layers/uniform_densities/u56_10.csv	0.4	4000	0	280	15
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/biology/M10000.xml	1	experiments/pc_layers/uniform_densities/u56_10.csv	0.4	4000	0	280	16
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/biology/M10000.xml	1	experiments/pc_layers/uniform_densities/u56_10.csv	0.4	4000	0	280	17
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/biology/M10000.xml	1	experiments/pc_layers/uniform_densities/u56_10.csv	0.4	4000	0	280	18
c0	experiments/setups/experiment_1.xml	g1	experiments/mazes/biology/M10000.xml	1	experiments/pc_layers/uniform_densities/u56_10.csv	0.4	4000	0	280	19
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/biology/M10600.xml	1	experiments/pc_layers/uniform_densities/u56_10.csv	0.4	4000	6	280	0
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/biology/M10600.xml	1	experiments/pc_layers/uniform_densities/u56_10.csv	0.4	4000	6	280	1
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/biology/M10600.xml	1	experiments/pc_layers/uniform_densities/u56_10.csv	0.4	4000	6	280	2
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/biology/M10600.xml	1	experiments/pc_layers/uniform_densities/u56_10.csv	0.4	4000	6	280	3
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/biology/M10600.xml	1	experiments/pc_layers/uniform_densities/u56_10.csv	0.4	4000	6	280	4
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/biology/M10600.xml	1	experiments/pc_layers/uniform_densities/u56_10.csv	0.4	4000	6	280	5
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/biology/M10600.xml	1	experiments/pc_layers/uniform_densities/u56_10.csv	0.4	4000	6	280	6
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/biology/M10600.xml	1	experiments/pc_layers/uniform_densities/u56_10.csv	0.4	4000	6	280	7
c1	experiments/setups/experiment_1.xml	g1	experiments/mazes/biology/M10600.xml	1	experiments/pc_layers/uniform_densities/u56_10.csv	0.4	4000	6	280	8
